column,pathway,direction,v1_mean,v2_mean,diff,log2fc,rank_biserial,u_pvalue,q_value,abs_rank_biserial
r-CD96,CD96,r,0.5778098536406886,0.6404702522186966,-0.06266039857800798,-0.1485367563254926,-0.21495545786012005,0.0,0.0,0.21495545786012005
r-NCAM,NCAM,r,11.89181335971258,12.104923655945003,-0.21311029623242206,-0.025625254841936874,-0.2097954600333266,0.0,0.0,0.2097954600333266
r-SCT,SCT,r,0.008917094481500616,0.0058699086391827285,0.0030471858423178873,0.6032355704125242,0.2084545362740422,0.0,0.0,0.2084545362740422
r-NECTIN,NECTIN,r,5.555965490152085,5.720761162222658,-0.16479567207057322,-0.04216947579791284,-0.20757385545046014,0.0,0.0,0.20757385545046014
s-NPNT,NPNT,s,0.07233393832374099,0.09026513739284363,-0.017931199069102635,-0.31949618377962,-0.20435410163181766,0.0,0.0,0.20435410163181766
s-CD30,CD30,s,0.008556904808317183,0.00982321706047628,-0.0012663122521590978,-0.19910651513861086,0.2022134996365137,0.0,0.0,0.2022134996365137
s-COMPLEMENT,COMPLEMENT,s,0.41763571361691904,0.46853676593577864,-0.05090105231885961,-0.16591717226848188,-0.2005086869482302,0.0,0.0,0.2005086869482302
s-HH,HH,s,0.16633229280763825,0.1558243920250448,0.010507900782593449,0.09414720536713296,0.20016733249073626,0.0,0.0,0.20016733249073626
s-CSF3,CSF3,s,0.02907853078813651,0.040421300085940526,-0.011342769297804017,-0.47516133251673187,-0.20010763365079975,0.0,0.0,0.20010763365079975
r-NGL,NGL,r,2.928701107085625,3.2582762908974763,-0.32957518381185125,-0.15384798034163832,-0.1990547011175111,0.0,0.0,0.1990547011175111
s-TIGIT,TIGIT,s,0.04737790907456019,0.05590612191519115,-0.008528212840630961,-0.23879173756944588,-0.19771892865918317,0.0,0.0,0.19771892865918317
r-GHRELIN,GHRELIN,r,0.006928734342562376,0.00367801991101445,0.003250714431547926,0.9136623684876581,0.19765156973499787,0.0,0.0,0.19765156973499787
s-ncWNT,ncWNT,s,4.760644064656789,5.120862169629641,-0.36021810497285145,-0.10522996070763298,-0.19644196991226626,0.0,0.0,0.19644196991226626
s-SPP1,SPP1,s,0.794103021981837,0.9927621052401897,-0.1986590832583527,-0.32212186120654,-0.19627271918348976,0.0,0.0,0.19627271918348976
r-LIFR,LIFR,r,0.33099648819529653,0.38558501733111394,-0.05458852913581741,-0.22023308285328566,-0.1937644331442525,0.0,0.0,0.1937644331442525
s-CD46,CD46,s,0.08794340088631607,0.10562707799225517,-0.0176836771059391,-0.2643324912949445,-0.19289205855793412,0.0,0.0,0.19289205855793412
r-ITGB2,ITGB2,r,0.07226446222106768,0.07026400659994174,0.0020004556211259406,0.04050049680502125,0.1924210074952004,0.0,0.0,0.1924210074952004
r-THPO,THPO,r,0.0083959550030684,0.011037618024859155,-0.0026416630217907557,-0.3946624836745141,-0.1918309760406003,0.0,0.0,0.1918309760406003
r-AGT,AGT,r,0.003767104243595831,0.004948664648923262,-0.0011815604053274308,-0.39358323223913255,-0.19017365605848557,0.0,0.0,0.19017365605848557
r-MHC-I,MHC-I,r,1.3027769804272764,1.4106948810923274,-0.10791790066505103,-0.11481584817531364,-0.1892574248703045,0.0,0.0,0.1892574248703045
s-GCG,GCG,s,0.004500225825926142,0.003040793955841158,0.0014594318700849838,0.5655491826214346,0.18918310808221706,0.0,0.0,0.18918310808221706
s-CD99,CD99,s,0.8506546963396547,1.066222448038782,-0.21556775169912734,-0.3258629343308358,-0.1881657525684881,0.0,0.0,0.1881657525684881
s-BRADYKININ,BRADYKININ,s,0.00245034927848823,0.0019908140173227474,0.00045953526116548253,0.29962882290942205,0.18756199197080892,0.0,0.0,0.18756199197080892
s-DMP1,DMP1,s,0.005271799019112504,0.006274112496546517,-0.0010023134774340128,-0.2511159831988443,-0.18731708711022255,0.0,0.0,0.18731708711022255
r-CD30,CD30,r,0.008556904808317183,0.00982321706047628,-0.0012663122521590978,-0.19910651513861086,-0.18587366583534137,0.0,0.0,0.18587366583534137
s-CHAD,CHAD,s,0.002961711989180768,0.003887719317610129,-0.0009260073284293614,-0.39249259516922363,-0.18128401523417403,0.0,0.0,0.18128401523417403
r-CD80,CD80,r,0.10465515667651436,0.12306129995946358,-0.01840614328294922,-0.23373373629712882,-0.18019349461049106,0.0,0.0,0.18019349461049106
s-BTLA,BTLA,s,0.03683730249157339,0.0426934802892857,-0.00585617779771231,-0.2128483475388292,-0.18000664333536498,0.0,0.0,0.18000664333536498
s-SCT,SCT,s,0.008917094481500616,0.0058699086391827285,0.0030471858423178873,0.6032355704125242,0.17694292581890414,0.0,0.0,0.17694292581890414
r-HGF,HGF,r,0.05329386544720116,0.07511997889240916,-0.021826113445208004,-0.4952271730185718,-0.1753652003071129,0.0,0.0,0.1753652003071129
r-FSH,FSH,r,0.003556382911969395,0.004460201219876064,-0.0009038183079066692,-0.3266980499439989,-0.1746290702550224,0.0,0.0,0.1746290702550224
r-IL12,IL12,r,0.0067422551375829675,0.007696061642047591,-0.0009538065044646235,-0.19088910576974163,-0.1744514222944611,0.0,0.0,0.1744514222944611
r-MADCAM,MADCAM,r,0.009033049546406014,0.011741882836472078,-0.002708833290066064,-0.37837870232148907,-0.17415876415248588,0.0,0.0,0.17415876415248588
r-LHB,LHB,r,0.00325374043806601,0.004097240932280601,-0.0008435004942145912,-0.33255347269582314,-0.17286103016147603,0.0,0.0,0.17286103016147603
r-OPIOID,OPIOID,r,1.1673261267400874,1.0850208174652218,0.08230530927486557,0.10548495355345888,0.17269496607921853,0.0,0.0,0.17269496607921853
s-TSH,TSH,s,0.03882278791317661,0.0438292582682524,-0.005006470355075794,-0.17499053627792657,-0.17258616236755386,0.0,0.0,0.17258616236755386
s-PROS,PROS,s,0.9711726567960494,1.0623027442008453,-0.09113008740479589,-0.1293952678517467,-0.17236800989623324,0.0,0.0,0.17236800989623324
r-IGF,IGF,r,0.3305375939554106,0.39296559728785224,-0.06242800333244164,-0.24958864747326268,-0.17216921352212777,0.0,0.0,0.17216921352212777
s-GALANIN,GALANIN,s,0.008000475602588751,0.006863816067381798,0.0011366595352069533,0.2210748434366417,0.16968269355621568,0.0,0.0,0.16968269355621568
r-IFN-I,IFN-I,r,0.018223551521706564,0.019429438741405257,-0.0012058872196986925,-0.09244007331794936,-0.1695564207347322,0.0,0.0,0.1695564207347322
s-DSPP,DSPP,s,0.008730317432310437,0.01024112640545297,-0.0015108089731425325,-0.23026836347744284,-0.16899998739863753,0.0,0.0,0.16899998739863753
r-CD46,CD46,r,0.08794340088631607,0.10562707799225517,-0.0176836771059391,-0.2643324912949445,-0.16769598995141066,0.0,0.0,0.16769598995141066
s-THPO,THPO,s,0.0083959550030684,0.011037618024859154,-0.002641663021790754,-0.3946624836745139,-0.16501172234622963,0.0,0.0,0.16501172234622963
r-APP,APP,r,0.04421229642955198,0.0573825358767809,-0.01317023944722892,-0.37616404708544754,-0.16485685334750322,0.0,0.0,0.16485685334750322
s-LT,LT,s,0.05352603443290479,0.04061632361605311,0.012909710816851681,0.3981811034408884,0.16428920654514578,0.0,0.0,0.16428920654514578
r-FN1,FN1,r,3.3305065991314637,3.4899269799733,-0.15942038084183618,-0.06745521060538752,-0.16373115644780878,0.0,0.0,0.16373115644780878
r-PSAP,PSAP,r,0.6915376041192159,0.790346339627388,-0.09880873550817204,-0.19267729483015367,-0.16354944866097842,0.0,0.0,0.16354944866097842
r-TRH,TRH,r,0.016753555050758286,0.019959348093626938,-0.0032057930428686515,-0.25259732340584334,-0.16223016689158087,0.0,0.0,0.16223016689158087
s-BAFF,BAFF,s,0.06755393132083275,0.07740632641143769,-0.00985239509060494,-0.19641174973902775,-0.16165064576376065,0.0,0.0,0.16165064576376065
s-PERIOSTIN,PERIOSTIN,s,0.16850789044086578,0.21829788037919673,-0.04978998993833095,-0.3734819725278793,-0.16145000835908763,0.0,0.0,0.16145000835908763
r-ENHO,ENHO,r,0.586982081545111,0.6088636419545026,-0.0218815604093916,-0.05280270176773902,-0.1604754487636092,0.0,0.0,0.1604754487636092
r-CD45,CD45,r,0.038764422337337394,0.04900054831968784,-0.010236125982350443,-0.33806471918819836,-0.15996456599809195,0.0,0.0,0.15996456599809195
s-IGF,IGF,s,0.3305375939554106,0.39296559728785224,-0.06242800333244164,-0.24958864747326268,-0.15982631498871225,0.0,0.0,0.15982631498871225
r-PERIOSTIN,PERIOSTIN,r,0.16850789044086578,0.21829788037919673,-0.04978998993833095,-0.3734819725278793,-0.15907952938626246,0.0,0.0,0.15907952938626246
s-TRAIL,TRAIL,s,0.01572245702075333,0.021283317883648876,-0.0055608608628955475,-0.43689635615967437,-0.15858014042366442,0.0,0.0,0.15858014042366442
s-CD96,CD96,s,0.5778098536406886,0.6404702522186966,-0.06266039857800798,-0.1485367563254926,-0.1583551174064164,0.0,0.0,0.1583551174064164
