column,pathway,direction,v1_mean,v2_mean,diff,log2fc,rank_biserial,u_pvalue,q_value,abs_rank_biserial
r-CD6,CD6,r,0.03655449560483046,0.027480065316251166,0.009074430288579297,0.4116633986966004,0.11423243043429632,1.1605689441387701e-74,2.3329203141063603e-74,0.11423243043429632
s-ALCAM,ALCAM,s,0.036554494608965156,0.027480065225264007,0.00907442938370115,0.4116633641696166,0.11423243043429632,1.1605689441387701e-74,2.3329203141063603e-74,0.11423243043429632
r-CNTN,CNTN,r,5.590940244986914,5.595185648537799,-0.004245403550885207,-0.0010950749170371289,0.11360344508917941,7.312507029126228e-74,1.4625014058252455e-73,0.11360344508917941
r-EPHB,EPHB,r,9.685931736898448,10.064853403478667,-0.37892166658021864,-0.05536341880490662,-0.11314155848577556,2.807353809532661e-73,5.5864930079142396e-73,0.11314155848577556
r-SEMA3,SEMA3,r,18.281980412342012,19.576855976279088,-1.294875563937076,-0.09872672801335662,-0.11294221219181211,5.0085874693682526e-73,9.91700318934914e-73,0.11294221219181211
r-RELN,RELN,r,0.335286280427485,0.38125756886519246,-0.04597128843770748,-0.18537252750950928,-0.11259433503407146,1.3721666200841043e-72,2.703373042553758e-72,0.11259433503407146
s-EPHA,EPHA,s,16.335628618500067,17.65273377926533,-1.3171051607652622,-0.11186965000576352,-0.110483008020545,5.821628743743107e-70,1.1412697933278568e-69,0.110483008020545
r-FGF,FGF,r,9.077674273221175,8.632718191093383,0.44495608212779203,0.07250782863429389,0.1103687249813956,8.051271559203723e-70,1.5705928755885095e-69,0.1103687249813956
s-SEMA7,SEMA7,s,0.8581873660170811,0.7591684911163974,0.09901887490068373,0.17687254677689251,0.11016670355112179,1.4270583513645355e-69,2.770172093825275e-69,0.11016670355112179
s-SEMA5,SEMA5,s,2.7766517567403914,2.593583307368059,0.18306844937233224,0.0983995373125828,0.10972299571491795,4.998199159773892e-69,9.6550578891242e-69,0.10972299571491795
r-GPR,GPR,r,0.16508099421553507,0.1846706421564262,-0.01958964794089113,-0.1617805002716483,-0.10842522021235723,1.898829537999004e-67,3.650177170134008e-67,0.10842522021235723
r-ALCAM,ALCAM,r,0.036554494608965156,0.027480065225264007,0.00907442938370115,0.4116633641696166,0.10754269882342649,2.1980520785021453e-66,4.184752995609854e-66,0.10754269882342649
s-CD6,CD6,s,0.03655449560483046,0.027480065316251166,0.009074430288579297,0.4116633986966004,0.10754269882342649,2.1980520785021453e-66,4.184752995609854e-66,0.10754269882342649
r-TWEAK,TWEAK,r,0.02340666311349807,0.015682740471668226,0.007723922641829844,0.5777415617212425,-0.10549029776699081,6.054191607053344e-64,1.1471099887048441e-63,0.10549029776699081
s-PARs,PARs,s,1.4178620020850219,1.471601538017559,-0.05373953593253722,-0.05366996465268667,-0.10454235105570608,7.821106076531494e-63,1.4748371458602248e-62,0.10454235105570608
r-IGF,IGF,r,0.5538314607020017,0.5861820863063908,-0.03235062560438906,-0.08190187075185823,-0.10297548115974453,5.106963752837568e-61,9.584633393951076e-61,0.10297548115974453
s-CCL,CCL,s,0.8177838727036659,0.6694790663186728,0.1483048063849931,0.2886806665691626,0.10245144627596714,2.0374017080883513e-60,3.805712624542392e-60,0.10245144627596714
